beer_id,brewery_id,style,abv,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,brewery_nbr_beers,true_serving_type
24483,3042,Russian Imperial Stout,8.5,1298372400,soju6.436826,4.0,3.5,4.0,3.5,3.5,3.58,"On Tap at BJ's in EL Paso, TX.A: Served a very dark mahogany color, virtually opaque. Had a good tan head that lasted with nice lacing to the finish.S: Has a fairly mild aroma of roasted malt &amp; coffee eith a hint of caramel.T; Started with a mild stout bitterness and continued to roasted malt and coffee. There was a mild chocolate sweetness and a clean finish.F: Full body, creamy and smooth. Well balanced. The alcohol is well hidden.D: Good drinker, but almost a bit to sweet for my taste. I would consider this more of a stout than an Imperial Stout, but it is still enjoyable.",144,53,3.41,1128,1128,1268305200.0,"United States, Missouri","United States, Arizona",67,draft
35036,1199,Scotch Ale / Wee Heavy,11.2,1257591600,sweemzander.312660,4.0,4.5,4.5,5.0,4.0,4.57,"12oz. bottle poured into a snifter. Bottled on 11/05/09. Only 2 days old, now thats fresh! (A)- Pours a super dark mahogany that is borderline black. Produced a good off-white head that dissipated to bubbles after leaving behind some tiny bits of webbing behind. (S)- Some light berry fruits with a toffee, fig, and a woodiness mixed together to create an interesting aroma. Definitely some smokiness present from those oak barrels. (T)- Wow, great dark berry fruits, fig, raisin, cocoa &amp; vanilla. Some cola-ish nuances that remind me of Dr. Pepper. A silky woodiness that has a slight smoky/mineral characteristic. Fantastic Complexity and character to it. (M)- Great carbonation level with a great body to it. There is a slight warming sensation as it goes down, but otherwise the 10.2% abv is integrated very well. Sweet, but in a balanced way. The fruits &amp; wood counterbalance the sweetness well. (D)- A very good beer. I was expecting something extremely potent (it is!) but in a much more delicate/complex sense. The oak bourbon barrels really makes this brew shine. If it tastes this good fresh, this should be really interesting with a year of age on it. Well done, once again Founders!",8118,1842,4.26,2950,1570,1238065200.0,"United States, Illinois","United States, Michigan",399,bottle
7560,26,Irish Dry Stout,6.5,1295002800,vdubb86.495030,4.0,4.5,4.5,4.0,4.0,4.17,"Served in a Sam Adams Perfect Pint GlassThis beer is Tit's McGee for an IDS. It pours pretty dark blackness with a light beige head that fades rather quickly on the surface. The smell is pretty damn wonderful. There is a hint of bourbon mixed within the heavy chocolate notes. It's like smelling a malted milk ball. The taste is a nice dry chocolate flavor there is almost a lemongrass flavor or some other earthy herbal note to the flavor on the back-end. This is pretty darn nice for the mouthfeel. It's one of the more pleasant tasting IDSs that I've ever had, If only that herbal note wasn't around.",839,464,4.05,614,579,1282557600.0,"United States, Illinois","United States, Indiana",333,unknown
65265,96,American Black Ale,6.0,1300791600,ralphus.232364,3.0,3.5,3.0,3.0,2.5,3.02,"Pours a hazy brown with an offwhite head that recedes to a ring of foam. Some lacing is left behind. The smell is smokey pine. Nice hopping.The taste is a slightly ipa taste with some smokey malts. The combination doesn't work too well for me as the malt is not that sweet. The beer just seems to be missing something.Mouthfeel is ok, albeit a little gritty if that makes any sense.Overall.. not a beer I'd go for again.",432,145,3.45,228,228,1215165600.0,Canada,"United States, Vermont",139,unknown
48084,13065,Berliner Weissbier,5.0,1324378800,raffy313.538985,3.5,4.5,4.5,4.5,4.5,4.44,"Received this 750ML C&amp;C'ed bottle in the MLB Playoffs 2011 BIF from landrewg. Thanks a ton, Andy! Poured into a regular pint glass.A clear, yellow/straw color, typical of Berliners. White 1 finger head that dissipates to nothing rather quickly and leaves behind very little, to no lacing.A nice lemony aroma with slight tartness. Some slight hefe-like wheat aromas are also present. Rather awesome nose, actually.Flavors are similar to the aromas, with the tartness hitting the tongue almost immediately. Definate lemon zest flavors, with just a hint of bready wheat.Somewhat light body with just the right amount of medium carbonation. Very drinkable, very refreshing... wish I had this back in the hot summer.Ahhhh... I love this style, and I really like this beer. &quot;Bottled on&quot; date says &quot;78&quot;, and have no idea how fresh/old this beer is, but I drank it over 2 months after I received it and it's still tastes fresh. Would love to try a bottle(or two) of this fresh next summer.",180,84,3.94,442,33,1292410800.0,"United States, Texas","United States, California",66,bottle
50699,16790,Belgian Strong Dark Ale,9.0,1366106400,dope.510859,4.25,4.0,4.25,4.5,4.75,4.39,"No bottle date that I could find. The wrapper had some info I think but I tossed it without thinking and now I'm too lazy to go find it. Fresh though, this just hit stores around here a few weeks ago.Gusher bottle, I always like being caught off guard by those.A: A dark brown pour with an enormous, ridiculously huge light and fluffy head. Head takes ages to fade away, annoyingly long in fact. Huge island of foam. Light, fluffy tufts of lacing everywhere. S: Heavy on the dark fruits and sweet chocolate. Almost exactly like chocolate-covered raisins. Get some plums, figs and maybe even a little grape? A little spicy belgian yeast too.T: Lots of sweet dark fruits up front. Very sweet. Not super raisin heavy like a ton of these are. It's actually more like prunes, plums and fig. Swear I still get a little grape hiding in there. Chocolate melds in nicely. Caramel sweetness is quite nice. Sweetness runs out in the finish, leaving more of a cocoa powder and dried fruit flavor. Some belgian spiciness but not overpowering (not a black pepper bomb like so many). Just a little. Nice dried fruits and a touch of earthiness lingering between sips. Maybe a little bit of smoke hanging around with it.M: Medium bodied, very smooth. Higher carbonation gives it a bit of an airy feel.O: One hell of a BSDA. Honestly one of the very best I've ever had. No aspect is overwhelming like so many of them are. Everything melds together, making it surprisingly mellow, well-integrated and easy drinking. Not too sweet, not too bitter, not too fruity, not too spicy. Great balance of flavors. I really enjoyed this one.",209,82,4.15,2134,1761,1286272800.0,"United States, Massachusetts",Belgium,34,bottle
2910,912,American Adjunct Lager,5.0,1459591200,hdf561.565607,3.25,3.5,4.0,3.5,4.0,3.64,"Poured from a bottle into a mug, clear but dark gold, no skunk smell, maybe some grain and corn but surprisingly pleasing Taste can't quite place it but it tastes delicious, very smooth, no bitterness perhaps some citrus, malt, bread notes still tastes great very smooth One of the best Mexican beers I have ever had! Kills corona and is on par with dos Equis, closer to a dos Amber than lager but phenomenal beer will buy again.",765,260,2.74,118,113,1297422000.0,"United States, Virginia",Dominican Republic,7,bottle
277999,48949,American Double / Imperial IPA,8.0,1501236000,brewandbbq.1965,4.0,4.25,4.25,4.25,4.25,4.24,"16oz can dated 7/14/17.Pours cloudy light gold with a short-lived head and minimal retention. Aromatics are tropical and lush. Candied peach. mango, and grapefruit. Medium bodied with a slickish but soft mouthfeel. A bit thin. Ripe citrus on the palate with zero malt and barely a trace of bitterness. Dry with plenty of juicy fruit. Finishes with plenty of peach and ripe tropicals. Nice beer. Probably the closest I've found next to Trillium.",42,15,4.22,1451,1448,1051178400.0,"United States, New Hampshire","United States, Maine",5,can
85006,25436,Scotch Ale / Wee Heavy,7.5,1349431200,stonedtrippin.601042,4.0,4.0,4.0,4.0,4.0,4.0,"a few months ago, i saw the brewer and some employees sneaking back to the cold room with a few bottles of rogues maple bacon beer. i knew something was up, and apparently it was this beer. made with smoked peppered bacon, this is a real different glass of beer. it pours rather dark, brown and syrupy looking, with a decent almost pure white head. the nose is really smokey, peaty, like scotch, with a robust dark malt profile. the flavor is crazy, smokey like a rauchbier at first, but then comes this intense black pepper flavor and a distinctly bacon finish. i guess i should qualify &quot;bacon finish&quot;. it isnt greasy or anything, but there is a very recognizable pork fat taste floating around in there with all the smoky flavors. i think it comes together well, and is certainly an ambitious brew. its got a ton of body and a slipper sort of mouthfeel. im impressed with this, go get some before its gone.",4,2,3.95,8970,8970,1306576800.0,"United States, Colorado","United States, Colorado",83,bottle
67780,24493,Irish Red Ale,6.2,1355223600,austincsuf.704131,4.0,4.0,3.0,3.5,3.0,3.5,"Beer was poured into cold pint glass..A- deep red almost brown amber colors- smell is quite pleasant, but u expect something with more profile after smelling itt- real smooth irish red, not a lot going on as far as aftertaste though (good or bad depending on your view)m- refreshingo-decent beer although not much flavor profile",19,6,3.27,7,7,1353409200.0,"United States, California","United States, California",29,unknown
645,207,Quadrupel (Quad),11.3,1301220000,adambear.406967,5.0,4.0,5.0,4.0,4.0,4.16,"A-dark chestnut with a thin light tan headS-caramelized belgian sugars. has a slight burnt scent to it. good strengthT-comes in with a potent hit of caramelized belgian sugars. it definitely tastes like a really strong beer. the more i drink it, the stronger it comes. the after-taste is filled with bananas and grapes. its definitely not as great as people make it out to be, i think the ABV hits too hard.M-thick high carbonation with a dry finishD-well this is definitely a sipper. i wasn't too impressed with this one compared to other dark belgians. it just doesn't go down easily. it was actually sorta difficult to finish. It is unique though and complex. Though its not my favorite. It's something I'll be coming back to every once in awhile.",9228,2875,4.47,911,908,1261393200.0,"United States, Pennsylvania",Belgium,3,unknown
46164,17279,English India Pale Ale (IPA),6.5,1246960800,brendan13.111074,4.5,4.0,4.0,4.5,4.5,4.33,On tap at The Local Taphouse 7/7/09.A - Slightly hazy orange hued golden colour with 2cm of fluffy white head that hangs around for a while.S - Tropical &amp; stone fruit aromas up front with a bit of a piney note. All about hops it seems.T - Also lots of tropical fruit and stone fruit in the taste with a bready and biscuity maltiness to back it up.M - Light to medium bodied with a fairly high carbonation. High but smooth hop bitterness and sticky hop resin.D - One of the best beers I've had this year. A hopheads delight. I don't know if they have done various versions but this seems much more like an American IPA than an English IPA. Which is a good thing!,7,7,3.68,915,915,1165662000.0,Australia,Australia,11,draft
